frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.292273915,0.2939535016,0.04951858521,0.04553431273,0.405042086,0.545977053,0.5110293311,0.55624991
1,1.0,0.0,0.0,0.0,1.0,1.0,0.2874875948,0.2887278194,0.04870045185,0.04468983412,0.429779982,0.5470590827,0.5407405781,0.5705128633
2,1.0,0.0,0.0,0.0,1.0,1.0,0.2826360263,0.2823702288,0.0479581356,0.04391348362,0.4582623907,0.5301204071,0.565055886,0.5723682246
3,1.0,0.0,0.0,0.0,1.0,1.0,0.2745906177,0.2692224782,0.04596936703,0.04168653488,0.4726962779,0.5465835449,0.5756457792,0.5684931311
4,1.0,0.0,0.0,0.0,1.0,1.0,0.2789537483,0.2682322596,0.046033144,0.04123210907,0.4794521612,0.5460127307,0.577205764,0.5753426044
5,1.0,0.0,0.0,0.0,1.0,1.0,0.2806652016,0.2757717731,0.04650521278,0.04225164652,0.4640411515,0.5487806128,0.5777775876,0.5637589668
6,1.0,0.0,0.0,0.0,1.0,1.0,0.2838133154,0.276161532,0.04725265503,0.04261440039,0.47735197,0.5460122003,0.5751877158,0.5782312354
7,1.0,0.0,0.0,0.0,1.0,1.0,0.2872961994,0.2780400675,0.04792374372,0.04298609495,0.4773519755,0.5393935776,0.5789475307,0.567568467
8,1.0,0.0,0.0,0.0,1.0,1.0,0.2810379111,0.2744680083,0.04698491096,0.04258012772,0.4710017749,0.5562506026,0.5719699735,0.5724142468
9,1.0,0.0,0.0,0.0,1.0,1.0,0.2858053001,0.2809752606,0.04780900478,0.0437027216,0.4719297921,0.5460116045,0.5735852368,0.5771811623
10,1.0,0.0,0.0,0.0,1.0,1.0,0.2890801501,0.2812118247,0.04874461889,0.04398906231,0.4779541209,0.5365853957,0.5665400094,0.5675678239
11,1.0,0.0,0.0,0.0,1.0,1.0,0.291134286,0.2782536969,0.04701763391,0.04214382172,0.4724688811,0.5426831046,0.5681821044,0.5714285714
12,1.0,0.0,0.0,0.0,1.0,1.0,0.2971792296,0.2899144187,0.04889440536,0.04423779249,0.469026592,0.5476184671,0.5572520694,0.5592108188
13,1.0,0.0,0.0,0.0,1.0,1.0,0.2973690251,0.2975438619,0.0485919714,0.04485416412,0.4647887915,0.538461161,0.5610685559,0.5705129909
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3003595088,0.2933967687,0.04930251837,0.04468941689,0.4657293765,0.5555558242,0.5606060903,0.5806440427
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3005314138,0.2922898819,0.04968100786,0.04477071762,0.4685315278,0.5523251699,0.5622640628,0.5612904858
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3029665805,0.301718588,0.05018544197,0.04614758492,0.4703833122,0.5517238103,0.5660378167,0.568749774
17,1.0,0.0,0.0,0.0,1.0,1.0,0.2877974653,0.2866323139,0.04745399952,0.04371517897,0.4677137175,0.5454552306,0.5660376474,0.5723685915
18,1.0,0.0,0.0,0.0,1.0,1.0,0.2963260647,0.2915040172,0.04893857241,0.04459488392,0.4649122601,0.5502957787,0.5643940088,0.5649350823
19,1.0,0.0,0.0,0.0,1.0,1.0,0.2933338521,0.288812304,0.04785525799,0.04355686903,0.4604569817,0.5449096874,0.5665398669,0.5723675118
20,1.0,0.0,0.0,0.0,1.0,1.0,0.2945724653,0.2877179463,0.04875254631,0.04410940409,0.4596490407,0.547618873,0.5530302736,0.5657896337
21,1.0,0.0,0.0,0.0,1.0,1.0,0.2908428109,0.2880072307,0.04723602533,0.04322814941,0.4638448467,0.5454536277,0.5648856963,0.5629136516
