frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.3965466823,0.4222992739,0.06017631292,0.06534987688,0.4398563212,0.6561092561,0.5563378844,0.6208334815
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3936648946,0.4190639786,0.05916005373,0.06456279755,0.4298561765,0.6484024338,0.5473686247,0.6234314761
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3925736206,0.4240593877,0.05882650614,0.06503301859,0.4342342876,0.6559636049,0.5528167358,0.6265556933
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3932822446,0.4205398752,0.05966341496,0.06541079283,0.4350179911,0.6467892658,0.5528170026,0.6234309662
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3968902873,0.4228407393,0.05918323994,0.06510156393,0.4386280618,0.6545456377,0.5524474848,0.6239669005
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3961752503,0.4260776094,0.05978500843,0.06603521109,0.437837745,0.6545453458,0.5543862011,0.6296300977
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3929582988,0.4240589687,0.05953806639,0.06551903486,0.4398563233,0.6529673645,0.5598590517,0.6224064729
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3884690696,0.4214727987,0.05809056759,0.06463599205,0.4397810921,0.652581885,0.5516016683,0.6160333895
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3954234906,0.4220260237,0.05989927053,0.06566941738,0.442831259,0.6467889224,0.5512366598,0.6108781484
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3957646128,0.419694432,0.05991774797,0.06516396999,0.4416058488,0.6405531742,0.5516014126,0.6059326607
10,1.0,0.0,0.0,0.0,1.0,1.0,0.3874645556,0.4182062509,0.05868661404,0.06471985579,0.4402174544,0.6495320933,0.5531915303,0.610168914
11,1.0,0.0,0.0,0.0,1.0,1.0,0.4012355665,0.4339213411,0.06005942822,0.06661140919,0.4379562284,0.645455177,0.5480427696,0.6147541864
12,1.0,0.0,0.0,0.0,1.0,1.0,0.4004983248,0.4306106469,0.06100046635,0.06677079201,0.4440432401,0.6486489391,0.5460992117,0.6213993937
13,1.0,0.0,0.0,0.0,1.0,1.0,0.3975881269,0.4354710602,0.0601169467,0.06728684902,0.4379561756,0.6422022715,0.5464286417,0.6188525679
14,1.0,0.0,0.0,0.0,1.0,1.0,0.4012225747,0.4379180149,0.06042379141,0.06750047207,0.4285714003,0.648648622,0.5371024024,0.616935548
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3990514836,0.442813261,0.06029355526,0.0682412982,0.4301269948,0.6590912236,0.5444840326,0.6184737693
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3882723498,0.4235223559,0.05922871828,0.06553548574,0.4298561151,0.6527780713,0.5425531915,0.6150633514
17,1.0,0.0,0.0,0.0,1.0,1.0,0.3968905508,0.4428133322,0.06135731936,0.06944531202,0.4314078895,0.6545451013,0.5409252074,0.622489591
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3994151475,0.4339211968,0.06031405926,0.066591084,0.4376130186,0.651583849,0.5480428525,0.6229510398
19,1.0,0.0,0.0,0.0,1.0,1.0,0.3972602359,0.4293374365,0.05971312523,0.0659275651,0.4406474998,0.6561078837,0.5492958567,0.614754254
20,1.0,0.0,0.0,0.0,1.0,1.0,0.3983281345,0.430610596,0.05976217985,0.06601005793,0.4456522031,0.6500000499,0.5496456245,0.6255141246
21,1.0,0.0,0.0,0.0,1.0,1.0,0.4004918437,0.4363758682,0.06104129553,0.06758141518,0.4400715338,0.6517850255,0.5492958234,0.6169357257
22,1.0,0.0,0.0,0.0,1.0,1.0,0.4022798725,0.4486928117,0.06154948473,0.06975603104,0.4347049363,0.653333385,0.5457747856,0.6156862444
23,1.0,0.0,0.0,0.0,1.0,1.0,0.3976274668,0.4412431566,0.05996203423,0.06725472212,0.4336916507,0.6531526964,0.5425531832,0.6144572547
24,1.0,0.0,0.0,0.0,1.0,1.0,0.396546743,0.4432151999,0.05994808674,0.06808584929,0.4416516965,0.6561085028,0.5512367094,0.6175300339
25,1.0,0.0,0.0,0.0,1.0,1.0,0.4022797441,0.4486933515,0.06100600958,0.06914019585,0.4347047742,0.6533334766,0.5422537173,0.6196072346
26,1.0,0.0,0.0,0.0,1.0,1.0,0.3965758049,0.4420605645,0.06017827988,0.06827396154,0.4306049591,0.6502242419,0.5454546507,0.6166012046
27,1.0,0.0,0.0,0.0,1.0,1.0,0.3979921511,0.4414496408,0.06029289961,0.06759291887,0.433928602,0.6547080857,0.5406357769,0.6160000564
28,1.0,0.0,0.0,0.0,1.0,1.0,0.40192984,0.4467469027,0.06077235937,0.06864023209,0.4344703411,0.6517858632,0.5441695167,0.6166003237
29,1.0,0.0,0.0,0.0,1.0,1.0,0.3947527039,0.4346163851,0.05995970964,0.06731837988,0.4452423987,0.6636367161,0.5528170803,0.6275301816
30,1.0,0.0,0.0,0.0,1.0,1.0,0.4030009159,0.4453652178,0.06256610155,0.07063013315,0.4444445298,0.6622215236,0.5508771046,0.6299210871
31,1.0,0.0,0.0,0.0,1.0,1.0,0.3987038141,0.4416547788,0.05985766649,0.06737345457,0.4400715507,0.6591927269,0.5492959673,0.6254973066
32,1.0,0.0,0.0,0.0,1.0,1.0,0.4019104857,0.4385661624,0.06140387058,0.0681963563,0.4341636358,0.6637170375,0.5489508519,0.6294822772
33,1.0,0.0,0.0,0.0,1.0,1.0,0.3994216473,0.4335557813,0.06059771776,0.06706148386,0.4458258945,0.6577777647,0.5609753748,0.6224894565
34,1.0,0.0,0.0,0.0,1.0,1.0,0.4069153731,0.4473028247,0.06221467257,0.06985515356,0.4500000097,0.6578944595,0.559440829,0.6210934534
35,1.0,0.0,0.0,0.0,1.0,1.0,0.4001324773,0.4385664951,0.06229001284,0.06948798895,0.4395017933,0.6622228729,0.5559437824,0.621513705
36,1.0,0.0,0.0,0.0,1.0,1.0,0.3997766939,0.4376987098,0.06003391743,0.06740170717,0.4436363413,0.6499997021,0.5531917035,0.6234815129
37,1.0,0.0,0.0,0.0,1.0,1.0,0.4019300684,0.4504526318,0.06044620275,0.06908136606,0.4380610854,0.6607143738,0.549295906,0.6210943466
38,1.0,0.0,0.0,0.0,1.0,1.0,0.4055186878,0.4416547082,0.06088328362,0.06761813164,0.4434469875,0.6592918708,0.5492956924,0.6254976006
39,1.0,0.0,0.0,0.0,1.0,1.0,0.401209774,0.4381358428,0.06165421009,0.06853526831,0.439068059,0.6562501813,0.5457745875,0.6224897398
40,1.0,0.0,0.0,0.0,1.0,1.0,0.398713562,0.4436119468,0.06215453148,0.06988930702,0.4361702423,0.662222137,0.5473682498,0.6245057772
41,1.0,0.0,0.0,0.0,1.0,1.0,0.3990574764,0.4467472625,0.06134659052,0.06991308928,0.43705028,0.6576579465,0.5406362227,0.6245056256
42,1.0,0.0,0.0,0.0,1.0,1.0,0.4047919456,0.4449809936,0.06182384491,0.06893628836,0.4444442927,0.6504427168,0.5477030687,0.6230162058
43,1.0,0.0,0.0,0.0,1.0,1.0,0.4091072869,0.4485125534,0.06273633242,0.06989043951,0.4416517185,0.6535089844,0.5477033262,0.6220471837
44,1.0,0.0,0.0,0.0,1.0,1.0,0.4015615008,0.4453654568,0.06122219563,0.06911307573,0.4410713879,0.653332853,0.540350892,0.6181100019
45,1.0,0.0,0.0,0.0,1.0,1.0,0.4019298487,0.4361521044,0.06157898903,0.06790184975,0.4362657301,0.656250363,0.5441698169,0.619432516
46,1.0,0.0,0.0,0.0,1.0,1.0,0.4044503289,0.4414496313,0.06173837185,0.06859821081,0.4406473951,0.6533339512,0.5477029132,0.6279999687
47,1.0,0.0,0.0,0.0,1.0,1.0,0.3841209782,0.3944222921,0.05756902695,0.06029731035,0.4517303476,0.6492885009,0.5535712684,0.6244344473
48,1.0,0.0,0.0,0.0,1.0,1.0,0.2822410622,0.2349433738,0.04023814201,0.03472602367,0.4545454545,0.6301363978,0.5410449025,0.7142854691
49,1.0,0.0,0.0,0.0,1.0,1.0,0.264196969,0.1190740418,0.03648990393,0.01725488901,0.4877049707,0.6279069388,0.546875,0.7704921431
50,1.0,0.0,0.0,0.0,1.0,1.0,0.2680947273,0.1602875277,0.03777223825,0.02360761166,0.4674555775,0.6764702634,0.5547169827,0.7764713308
51,1.0,0.0,0.0,0.0,1.0,1.0,0.3117353258,0.2910462481,0.04554253817,0.04388642311,0.4593573188,0.6606061954,0.5677657343,0.6981129769
52,1.0,0.0,0.0,0.0,1.0,1.0,0.3468212468,0.344698246,0.05052626133,0.05134123564,0.4496268109,0.6612900943,0.5474454658,0.6560846008
53,1.0,0.0,0.0,0.0,1.0,1.0,0.3690811665,0.3725517521,0.05509138107,0.05672770739,0.4314441756,0.6633660795,0.5448031087,0.6490391738
54,1.0,0.0,0.0,0.0,1.0,1.0,0.3804795788,0.395836306,0.05691945553,0.0601875782,0.4389799824,0.660286926,0.5448031442,0.6425340173
55,1.0,0.0,0.0,0.0,1.0,1.0,0.3869397051,0.4012095254,0.05795758963,0.06152844429,0.4348624251,0.6587677286,0.5448029663,0.6428571429
56,1.0,0.0,0.0,0.0,1.0,1.0,0.3866450848,0.4015618091,0.05809366703,0.06165611744,0.4288322031,0.6556610065,0.542857165,0.6355554524
57,1.0,0.0,0.0,0.0,1.0,1.0,0.3895821769,0.4090241226,0.05780160427,0.06212317944,0.4280509813,0.6635514308,0.5373667464,0.6434784611
58,1.0,0.0,0.0,0.0,1.0,1.0,0.3932231351,0.4143593672,0.05941426754,0.06409037113,0.4189435328,0.6620365447,0.5338080431,0.6437766564
59,1.0,0.0,0.0,0.0,1.0,1.0,0.3885717675,0.4161377879,0.05818688869,0.06332892179,0.4231463771,0.6651164601,0.5373664421,0.6495727461
60,1.0,0.0,0.0,0.0,1.0,1.0,0.3882720715,0.4167286633,0.05934369564,0.06483858824,0.42266182,0.6620373997,0.5371025737,0.6398308162
61,1.0,0.0,0.0,0.0,1.0,1.0,0.3914782143,0.4184940886,0.05844086409,0.06382709742,0.4187725877,0.6635936663,0.5335689129,0.6497892778
62,1.0,0.0,0.0,0.0,1.0,1.0,0.3943744011,0.4135015744,0.05956530571,0.06391710043,0.4180179622,0.6666670002,0.5316899969,0.6425526717
63,1.0,0.0,0.0,0.0,1.0,1.0,0.3892752122,0.4114309718,0.0585552454,0.06345754862,0.423912953,0.6651170508,0.5406360356,0.6480682221
64,1.0,0.0,0.0,0.0,1.0,1.0,0.3944226447,0.4190639588,0.05946320295,0.06430631876,0.4178570652,0.6606336837,0.5333334369,0.6359830232
65,1.0,0.0,0.0,0.0,1.0,1.0,0.397976284,0.4273234411,0.05970877409,0.06538242102,0.4216216286,0.6606338726,0.5335688881,0.6363631391
66,1.0,0.0,0.0,0.0,1.0,1.0,0.387976444,0.4217503232,0.05830788612,0.06395059824,0.411448915,0.6635941544,0.5283686452,0.6428564105
