frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.4083358017,0.3806651639,0.06140035391,0.06515407562,0.4683318635,0.606986323,0.5423196357,0.5390950907
1,1.0,0.0,0.0,0.0,1.0,1.0,0.4145313566,0.3876342477,0.06189191341,0.06530123949,0.4586994731,0.6016945725,0.5420559557,0.546184508
2,1.0,0.0,0.0,0.0,1.0,1.0,0.423536262,0.3982391156,0.06551039219,0.06897228956,0.4556417883,0.6097561419,0.5476923109,0.5482624315
3,1.0,0.0,0.0,0.0,1.0,1.0,0.4039018401,0.3774981687,0.06180137396,0.0641682148,0.4531383997,0.6042551755,0.5417956624,0.5491805411
4,1.0,0.0,0.0,0.0,1.0,1.0,0.4134444319,0.3886720806,0.06403619051,0.06668233871,0.4512821273,0.5991730806,0.5432096235,0.5476194733
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3994323453,0.3713097289,0.06121712923,0.06332808733,0.4521963076,0.6034479233,0.5386996406,0.5416666274
6,1.0,0.0,0.0,0.0,1.0,1.0,0.401873487,0.3708619981,0.06127977371,0.06287837029,0.4423076228,0.6043474201,0.528301973,0.5466099928
7,1.0,0.0,0.0,0.0,1.0,1.0,0.4032529477,0.3791536841,0.06192278862,0.06379121542,0.410434721,0.612069397,0.5015873072,0.5481168225
8,1.0,0.0,0.0,0.0,1.0,1.0,0.4092201501,0.384769226,0.06215161085,0.06401085854,0.4208223562,0.6111106316,0.5047923998,0.5518667988
9,1.0,0.0,0.0,0.0,1.0,1.0,0.4222007482,0.394348562,0.06595772505,0.06759983301,0.4145486036,0.6141080638,0.5015977185,0.5425102964
10,1.0,0.0,0.0,0.0,1.0,1.0,0.4195190182,0.3852688411,0.06347292662,0.0637395978,0.4197531241,0.6092436935,0.5096773589,0.5397489931
11,1.0,0.0,0.0,0.0,1.0,1.0,0.4276930517,0.3939167616,0.06436103582,0.06516891718,0.4252462317,0.6066953201,0.5016288405,0.5413228847
12,1.0,0.0,0.0,0.0,1.0,1.0,0.4258186784,0.3972139321,0.06429046392,0.06588441133,0.4313380384,0.6033060916,0.5096154019,0.5483866298
13,1.0,0.0,0.0,0.0,1.0,1.0,0.4251422722,0.3829031475,0.06387001276,0.06333333254,0.4298482281,0.6092438975,0.506493689,0.5466097348
14,1.0,0.0,0.0,0.0,1.0,1.0,0.4244944737,0.3942604057,0.0640026927,0.06562298536,0.4211470622,0.6075944298,0.5032467358,0.543209585
15,1.0,0.0,0.0,0.0,1.0,1.0,0.4185771962,0.3852687137,0.06484735012,0.06567168236,0.4196984146,0.6101696941,0.496774065,0.5439331341
16,1.0,0.0,0.0,0.0,1.0,1.0,0.4130072592,0.385636889,0.0619353056,0.06434839964,0.4203934611,0.6103895479,0.5016079709,0.5416673228
17,1.0,0.0,0.0,0.0,1.0,1.0,0.4133164359,0.384898283,0.06353259087,0.0651756525,0.4242423332,0.6077587016,0.4983818634,0.5420168528
