frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.328233823,0.233203113,0.05090808868,0.04694515467,0.4906587333,0.5808386879,0.5848484256,0.5844156174
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3282335051,0.2332028991,0.05021977425,0.0463104248,0.4945918576,0.5868259138,0.5909089408,0.5779229304
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3249900466,0.2309890052,0.0499676466,0.04605454206,0.4965720353,0.5783127644,0.5891239502,0.5816994902
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3213193371,0.2332032325,0.04975318909,0.04700613022,0.4871793885,0.5889567759,0.5848485556,0.5909093215
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3174697838,0.2301746352,0.04895812273,0.04593604803,0.4941175516,0.5864197005,0.5878788114,0.5789466172
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3148789647,0.2045011142,0.04875606298,0.04104149342,0.4656031365,0.6075959271,0.5599998574,0.5789471391
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3062121913,0.1265739175,0.04457932711,0.02383750677,0.4978723465,0.6319444537,0.5493421386,0.5844141556
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3038136134,0.1265525912,0.0454044342,0.02442443371,0.4800839181,0.6344833018,0.5487014411,0.5897421506
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3073622183,0.1746597231,0.04793131351,0.03474211693,0.4365325403,0.6308729422,0.5307444035,0.6018518519
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3070633215,0.221751059,0.04705411196,0.04310762882,0.4231912376,0.6064511798,0.5218750537,0.5915495295
10,1.0,0.0,0.0,0.0,1.0,1.0,0.3131257486,0.2265813582,0.04737997055,0.04350608587,0.4167488147,0.6037735374,0.5155279927,0.5821915275
11,1.0,0.0,0.0,0.0,1.0,1.0,0.3229724133,0.2381845784,0.04858547449,0.04532665014,0.4049261743,0.6097562472,0.5109034229,0.5816991143
12,1.0,0.0,0.0,0.0,1.0,1.0,0.3226542187,0.2490819805,0.04860246181,0.04741704464,0.4074802737,0.591463968,0.5109035165,0.5750006914
13,1.0,0.0,0.0,0.0,1.0,1.0,0.3321761431,0.2583694856,0.05149465799,0.05029004812,0.4052477277,0.6023390594,0.5108358906,0.5688629142
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3331471439,0.2537046417,0.05071210861,0.04893279076,0.403508741,0.5906432474,0.5138461862,0.5757580187
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3354357996,0.2568227384,0.05231922865,0.05078947544,0.4072619588,0.5906426619,0.5170277611,0.5843380988
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3377020506,0.2637413981,0.05061620474,0.05003100634,0.3984374899,0.5953763488,0.5123457585,0.5789480582
17,1.0,0.0,0.0,0.0,1.0,1.0,0.3315126354,0.2568226155,0.05107152462,0.05016493797,0.3974485338,0.6035504961,0.5077399721,0.590361775
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3205564866,0.2169208508,0.04764521122,0.04096883535,0.3973441887,0.5859869344,0.4951769453,0.5851852714
19,1.0,0.0,0.0,0.0,1.0,1.0,0.314110513,0.2107450437,0.04729199409,0.04053598642,0.4000000198,0.5844159773,0.4888178983,0.6060601605
20,1.0,0.0,0.0,0.0,1.0,1.0,0.3116972696,0.2274369725,0.04791730642,0.04389840364,0.4044266635,0.5612903788,0.4967950074,0.5704222579
21,1.0,0.0,0.0,0.0,1.0,1.0,0.3078282126,0.229903512,0.04621362686,0.04321271181,0.3980000631,0.5844150149,0.4952076282,0.5972228544
22,1.0,0.0,0.0,0.0,1.0,1.0,0.319821434,0.228443973,0.04917997122,0.04426199198,0.3880000147,0.5749997273,0.4952380396,0.5902775814
23,1.0,0.0,0.0,0.0,1.0,1.0,0.3123252921,0.2164397817,0.0465413332,0.04083633423,0.4012097278,0.5677416711,0.4968154174,0.5808821812
24,1.0,0.0,0.0,0.0,1.0,1.0,0.3143406049,0.2245583643,0.0457342267,0.04162991047,0.4072581265,0.5833325731,0.506329061,0.5915490941
25,1.0,0.0,0.0,0.0,1.0,1.0,0.3170918418,0.2254261381,0.04886657,0.04422736168,0.4136546029,0.5822783575,0.5110409932,0.5944054813
26,1.0,0.0,0.0,0.0,1.0,1.0,0.3210328249,0.2252710174,0.04772233963,0.04261994362,0.4202020028,0.5786163208,0.5206348156,0.5845066877
27,1.0,0.0,0.0,0.0,1.0,1.0,0.3214281858,0.2247172791,0.04879659414,0.04361200333,0.4150753864,0.5812505878,0.5062892386,0.594406359
28,1.0,0.0,0.0,0.0,1.0,1.0,0.3190134937,0.2229768247,0.04812294245,0.04294520617,0.4343435321,0.5822789827,0.5253165771,0.5744683213
29,1.0,0.0,0.0,0.0,1.0,1.0,0.3142261345,0.2228053973,0.04798442125,0.04334074259,0.4219065825,0.5677409337,0.5159237542,0.5928566419
30,1.0,0.0,0.0,0.0,1.0,1.0,0.3196596116,0.2203241909,0.04856604338,0.04241842031,0.4170040986,0.5759490331,0.5079871285,0.5869561857
31,1.0,0.0,0.0,0.0,1.0,1.0,0.3140240021,0.2213952458,0.04660356045,0.04182368517,0.415911372,0.5897429011,0.5094938217,0.5928571938
