frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.324779501,0.3400164608,0.0554766655,0.05306464434,0.4238618774,0.6038652949,0.5120272998,0.5808079957
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3300483668,0.3320293909,0.05708003044,0.0530602932,0.4248061688,0.6103290993,0.5234899855,0.5909094994
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3307958516,0.3393374342,0.0561248064,0.05346482992,0.4243136275,0.6018958856,0.5202700351,0.5771150435
3,1.0,0.0,0.0,0.0,1.0,1.0,0.339110379,0.3420906894,0.05882132053,0.05504375696,0.4256810158,0.6055045407,0.523489908,0.5735299373
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3388732347,0.3442895328,0.05843031406,0.05546844006,0.4296875925,0.5990780355,0.5284281209,0.5728149185
5,1.0,0.0,0.0,0.0,1.0,1.0,0.339711936,0.3348824182,0.06550258398,0.06107240915,0.426929407,0.5893720466,0.5069445715,0.5751294376
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3430428283,0.3447550398,0.06620174646,0.06301891804,0.4191419134,0.5913462101,0.5017420648,0.5707067745
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3469822939,0.3471745681,0.06567311287,0.06221663952,0.4269103284,0.5933017611,0.5052630529,0.5707064998
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3499731508,0.3508679077,0.06463116407,0.06152385473,0.4208753839,0.5865386123,0.492908022,0.5858579596
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3488777823,0.3538948796,0.06575244665,0.06321126223,0.411467056,0.5942031088,0.487544541,0.5829144307
10,1.0,0.0,0.0,0.0,1.0,1.0,0.3520370273,0.3535932304,0.0660058856,0.06310808659,0.4347078875,0.5951218851,0.4981950941,0.5918370045
11,1.0,0.0,0.0,0.0,1.0,1.0,0.3491200337,0.361805179,0.06578493118,0.06514000893,0.4246575624,0.5980394822,0.5017920293,0.5841583796
12,1.0,0.0,0.0,0.0,1.0,1.0,0.3566974091,0.3846772503,0.06632167101,0.06856441498,0.4172413408,0.5942025339,0.4892087919,0.6028035677
13,1.0,0.0,0.0,0.0,1.0,1.0,0.354363126,0.3788499615,0.06669986248,0.06799507141,0.4182444104,0.5970869622,0.4909748288,0.6047618797
14,1.0,0.0,0.0,0.0,1.0,1.0,0.346427063,0.3675483144,0.06220930815,0.06314241886,0.4315424184,0.6050001006,0.4999998265,0.605911716
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3505898096,0.3675484863,0.0617685914,0.0623831749,0.4258289867,0.5970153574,0.4927536181,0.6009845063
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3581916423,0.376153976,0.06314963102,0.06376576424,0.4318181588,0.5951221124,0.4981818374,0.5942025328
17,1.0,0.0,0.0,0.0,1.0,1.0,0.3588190891,0.3788498534,0.0632044673,0.06474602222,0.4290717754,0.5951216292,0.4945850591,0.5952379637
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3581914417,0.384262071,0.06359070539,0.06607234478,0.4160839079,0.6,0.4873647035,0.5915490162
19,1.0,0.0,0.0,0.0,1.0,1.0,0.3498044685,0.3716785236,0.06346619129,0.06534206867,0.4275862296,0.6059114226,0.4982205332,0.5980863994
20,1.0,0.0,0.0,0.0,1.0,1.0,0.3587742993,0.3756767817,0.06547427177,0.06609779596,0.441025676,0.5999994538,0.5035462651,0.599056574
