frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.0,0.0,0.0,1.0,1.0,0.292273915,0.2939535016,0.04951858521,0.04553431273
1,1.0,0.0,0.0,0.0,1.0,1.0,0.2874875948,0.2887278194,0.04870045185,0.04468983412
2,1.0,0.0,0.0,0.0,1.0,1.0,0.2826360263,0.2823702288,0.0479581356,0.04391348362
3,1.0,0.0,0.0,0.0,1.0,1.0,0.2745906177,0.2692224782,0.04596936703,0.04168653488
4,1.0,0.0,0.0,0.0,1.0,1.0,0.2789537483,0.2682322596,0.046033144,0.04123210907
5,1.0,0.0,0.0,0.0,1.0,1.0,0.2806652016,0.2757717731,0.04650521278,0.04225164652
6,1.0,0.0,0.0,0.0,1.0,1.0,0.2838133154,0.276161532,0.04725265503,0.04261440039
7,1.0,0.0,0.0,0.0,1.0,1.0,0.2872961994,0.2780400675,0.04792374372,0.04298609495
8,1.0,0.0,0.0,0.0,1.0,1.0,0.2810379111,0.2744680083,0.04698491096,0.04258012772
9,1.0,0.0,0.0,0.0,1.0,1.0,0.2858053001,0.2809752606,0.04780900478,0.0437027216
10,1.0,0.0,0.0,0.0,1.0,1.0,0.2890801501,0.2812118247,0.04874461889,0.04398906231
11,1.0,0.0,0.0,0.0,1.0,1.0,0.291134286,0.2782536969,0.04701763391,0.04214382172
12,1.0,0.0,0.0,0.0,1.0,1.0,0.2971792296,0.2899144187,0.04889440536,0.04423779249
13,1.0,0.0,0.0,0.0,1.0,1.0,0.2973690251,0.2975438619,0.0485919714,0.04485416412
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3003595088,0.2933967687,0.04930251837,0.04468941689
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3005314138,0.2922898819,0.04968100786,0.04477071762
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3029665805,0.301718588,0.05018544197,0.04614758492
17,1.0,0.0,0.0,0.0,1.0,1.0,0.2877974653,0.2866323139,0.04745399952,0.04371517897
18,1.0,0.0,0.0,0.0,1.0,1.0,0.2963260647,0.2915040172,0.04893857241,0.04459488392
19,1.0,0.0,0.0,0.0,1.0,1.0,0.2933338521,0.288812304,0.04785525799,0.04355686903
20,1.0,0.0,0.0,0.0,1.0,1.0,0.2945724653,0.2877179463,0.04875254631,0.04410940409
