frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.2945544273,0.2427213782,0.4718910844,0.5953757372,0.5841268573,0.542483211
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3028097309,0.2538264539,0.4774467311,0.5898874636,0.5904764347,0.5499999326
2,1.0,0.0,0.0,0.0,1.0,1.0,0.2921443746,0.2411352084,0.4700853893,0.5789473684,0.580952276,0.5328944832
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3051730898,0.2585856611,0.4656487831,0.5833327284,0.5777776549,0.5276070341
4,1.0,0.0,0.0,0.0,1.0,1.0,0.2945013197,0.2396135943,0.4733276974,0.5919536661,0.580441554,0.5592102512
5,1.0,0.0,0.0,0.0,1.0,1.0,0.2945544964,0.244272385,0.4616694728,0.5838140438,0.5782747331,0.5424833863
6,1.0,0.0,0.0,0.0,1.0,1.0,0.303372075,0.2506488602,0.475547993,0.5833328203,0.5867509198,0.5283013608
7,1.0,0.0,0.0,0.0,1.0,1.0,0.2974527741,0.2466777431,0.4693878021,0.5828569387,0.5828027273,0.5548392995
8,1.0,0.0,0.0,0.0,1.0,1.0,0.2938033733,0.2379623733,0.4732370794,0.5606935066,0.5841271169,0.5333329553
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3062261876,0.2577674536,0.4764309755,0.576922374,0.5886074389,0.539877105
10,1.0,0.0,0.0,0.0,1.0,1.0,0.302451686,0.2530233752,0.4759088042,0.5754184308,0.5854431554,0.5374994973
11,1.0,0.0,0.0,0.0,1.0,1.0,0.2911162533,0.2450553148,0.4767146899,0.5872096283,0.5897437447,0.542483687
12,1.0,0.0,0.0,0.0,1.0,1.0,0.2918949984,0.2418519886,0.4790776945,0.5847944135,0.5897433993,0.5430468383
