frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.3965466823,0.4222992739,0.4398563212,0.6561092561,0.5563378844,0.6208334815
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3936648946,0.4190639786,0.4298561765,0.6484024338,0.5473686247,0.6234314761
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3925736206,0.4240593877,0.4342342876,0.6559636049,0.5528167358,0.6265556933
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3932822446,0.4205398752,0.4350179911,0.6467892658,0.5528170026,0.6234309662
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3968902873,0.4228407393,0.4386280618,0.6545456377,0.5524474848,0.6239669005
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3961752503,0.4260776094,0.437837745,0.6545453458,0.5543862011,0.6296300977
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3929582988,0.4240589687,0.4398563233,0.6529673645,0.5598590517,0.6224064729
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3884690696,0.4214727987,0.4397810921,0.652581885,0.5516016683,0.6160333895
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3954234906,0.4220260237,0.442831259,0.6467889224,0.5512366598,0.6108781484
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3957646128,0.419694432,0.4416058488,0.6405531742,0.5516014126,0.6059326607
10,1.0,0.0,0.0,0.0,1.0,1.0,0.3874645556,0.4182062509,0.4402174544,0.6495320933,0.5531915303,0.610168914
11,1.0,0.0,0.0,0.0,1.0,1.0,0.4012355665,0.4339213411,0.4379562284,0.645455177,0.5480427696,0.6147541864
12,1.0,0.0,0.0,0.0,1.0,1.0,0.4004983248,0.4306106469,0.4440432401,0.6486489391,0.5460992117,0.6213993937
13,1.0,0.0,0.0,0.0,1.0,1.0,0.3975881269,0.4354710602,0.4379561756,0.6422022715,0.5464286417,0.6188525679
14,1.0,0.0,0.0,0.0,1.0,1.0,0.4012225747,0.4379180149,0.4285714003,0.648648622,0.5371024024,0.616935548
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3990514836,0.442813261,0.4301269948,0.6590912236,0.5444840326,0.6184737693
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3882723498,0.4235223559,0.4298561151,0.6527780713,0.5425531915,0.6150633514
17,1.0,0.0,0.0,0.0,1.0,1.0,0.3968905508,0.4428133322,0.4314078895,0.6545451013,0.5409252074,0.622489591
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3994151475,0.4339211968,0.4376130186,0.651583849,0.5480428525,0.6229510398
