frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.0,0.0,0.0,1.0,1.0,0.4083358017,0.3806651639,0.06140035391,0.06515407562
1,1.0,0.0,0.0,0.0,1.0,1.0,0.4145313566,0.3876342477,0.06189191341,0.06530123949
2,1.0,0.0,0.0,0.0,1.0,1.0,0.423536262,0.3982391156,0.06551039219,0.06897228956
3,1.0,0.0,0.0,0.0,1.0,1.0,0.4039018401,0.3774981687,0.06180137396,0.0641682148
4,1.0,0.0,0.0,0.0,1.0,1.0,0.4134444319,0.3886720806,0.06403619051,0.06668233871
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3994323453,0.3713097289,0.06121712923,0.06332808733
6,1.0,0.0,0.0,0.0,1.0,1.0,0.401873487,0.3708619981,0.06127977371,0.06287837029
7,1.0,0.0,0.0,0.0,1.0,1.0,0.4032529477,0.3791536841,0.06192278862,0.06379121542
8,1.0,0.0,0.0,0.0,1.0,1.0,0.4092201501,0.384769226,0.06215161085,0.06401085854
9,1.0,0.0,0.0,0.0,1.0,1.0,0.4222007482,0.394348562,0.06595772505,0.06759983301
10,1.0,0.0,0.0,0.0,1.0,1.0,0.4195190182,0.3852688411,0.06347292662,0.0637395978
11,1.0,0.0,0.0,0.0,1.0,1.0,0.4276930517,0.3939167616,0.06436103582,0.06516891718
12,1.0,0.0,0.0,0.0,1.0,1.0,0.4258186784,0.3972139321,0.06429046392,0.06588441133
13,1.0,0.0,0.0,0.0,1.0,1.0,0.4251422722,0.3829031475,0.06387001276,0.06333333254
14,1.0,0.0,0.0,0.0,1.0,1.0,0.4244944737,0.3942604057,0.0640026927,0.06562298536
15,1.0,0.0,0.0,0.0,1.0,1.0,0.4185771962,0.3852687137,0.06484735012,0.06567168236
16,1.0,0.0,0.0,0.0,1.0,1.0,0.4130072592,0.385636889,0.0619353056,0.06434839964
17,1.0,0.0,0.0,0.0,1.0,1.0,0.4133164359,0.384898283,0.06353259087,0.0651756525
