frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.0,0.0,0.0,1.0,1.0,0.328233823,0.233203113,0.05090808868,0.04694515467
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3282335051,0.2332028991,0.05021977425,0.0463104248
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3249900466,0.2309890052,0.0499676466,0.04605454206
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3213193371,0.2332032325,0.04975318909,0.04700613022
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3174697838,0.2301746352,0.04895812273,0.04593604803
5,1.0,0.0,0.0,0.0,1.0,1.0,0.3148789647,0.2045011142,0.04875606298,0.04104149342
6,1.0,0.0,0.0,0.0,1.0,1.0,0.3062121913,0.1265739175,0.04457932711,0.02383750677
7,1.0,0.0,0.0,0.0,1.0,1.0,0.3038136134,0.1265525912,0.0454044342,0.02442443371
8,1.0,0.0,0.0,0.0,1.0,1.0,0.3073622183,0.1746597231,0.04793131351,0.03474211693
9,1.0,0.0,0.0,0.0,1.0,1.0,0.3070633215,0.221751059,0.04705411196,0.04310762882
10,1.0,0.0,0.0,0.0,1.0,1.0,0.3131257486,0.2265813582,0.04737997055,0.04350608587
11,1.0,0.0,0.0,0.0,1.0,1.0,0.3229724133,0.2381845784,0.04858547449,0.04532665014
12,1.0,0.0,0.0,0.0,1.0,1.0,0.3226542187,0.2490819805,0.04860246181,0.04741704464
13,1.0,0.0,0.0,0.0,1.0,1.0,0.3321761431,0.2583694856,0.05149465799,0.05029004812
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3331471439,0.2537046417,0.05071210861,0.04893279076
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3354357996,0.2568227384,0.05231922865,0.05078947544
16,1.0,0.0,0.0,0.0,1.0,1.0,0.3377020506,0.2637413981,0.05061620474,0.05003100634
17,1.0,0.0,0.0,0.0,1.0,1.0,0.3315126354,0.2568226155,0.05107152462,0.05016493797
18,1.0,0.0,0.0,0.0,1.0,1.0,0.3205564866,0.2169208508,0.04764521122,0.04096883535
19,1.0,0.0,0.0,0.0,1.0,1.0,0.314110513,0.2107450437,0.04729199409,0.04053598642
20,1.0,0.0,0.0,0.0,1.0,1.0,0.3116972696,0.2274369725,0.04791730642,0.04389840364
21,1.0,0.0,0.0,0.0,1.0,1.0,0.3078282126,0.229903512,0.04621362686,0.04321271181
22,1.0,0.0,0.0,0.0,1.0,1.0,0.319821434,0.228443973,0.04917997122,0.04426199198
23,1.0,0.0,0.0,0.0,1.0,1.0,0.3123252921,0.2164397817,0.0465413332,0.04083633423
24,1.0,0.0,0.0,0.0,1.0,1.0,0.3143406049,0.2245583643,0.0457342267,0.04162991047
25,1.0,0.0,0.0,0.0,1.0,1.0,0.3170918418,0.2254261381,0.04886657,0.04422736168
26,1.0,0.0,0.0,0.0,1.0,1.0,0.3210328249,0.2252710174,0.04772233963,0.04261994362
27,1.0,0.0,0.0,0.0,1.0,1.0,0.3214281858,0.2247172791,0.04879659414,0.04361200333
28,1.0,0.0,0.0,0.0,1.0,1.0,0.3190134937,0.2229768247,0.04812294245,0.04294520617
29,1.0,0.0,0.0,0.0,1.0,1.0,0.3142261345,0.2228053973,0.04798442125,0.04334074259
30,1.0,0.0,0.0,0.0,1.0,1.0,0.3196596116,0.2203241909,0.04856604338,0.04241842031
31,1.0,0.0,0.0,0.0,1.0,1.0,0.3140240021,0.2213952458,0.04660356045,0.04182368517
32,1.0,0.0,0.0,0.0,1.0,1.0,0.3280845544,0.2261394289,0.0496737957,0.0438477993
33,1.0,0.0,0.0,0.0,1.0,1.0,0.3277190916,0.2180309616,0.04855698347,0.04131865501
34,1.0,0.0,0.0,0.0,1.0,1.0,0.3233783724,0.2245582292,0.048861444,0.04336458445
35,1.0,0.0,0.0,0.0,1.0,1.0,0.31465811,0.2180312607,0.04757499695,0.04178059101
36,1.0,0.0,0.0,0.0,1.0,1.0,0.3181895152,0.2187276466,0.04715234041,0.04140943289
37,1.0,0.0,0.0,0.0,1.0,1.0,0.3142262526,0.2235175604,0.04634284973,0.04185807705
38,1.0,0.0,0.0,0.0,1.0,1.0,0.315293856,0.2275797026,0.04597294331,0.04214185476
39,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3189274461,0.2290386096,0.04636645317,0.04223185778
40,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3189274114,0.226710506,0.04705756903,0.04256165028
41,1.0,0.0,0.0,0.0,1.0,1.0,0.3152941836,0.2235173814,0.04591852427,0.04120892286
42,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3177301727,0.2278599242,0.04621905088,0.04241615534
43,1.0,0.0,0.0,0.0,1.0,1.0,0.3175415138,0.2228055629,0.04943591356,0.04436558485
44,1.0,0.0,0.0,0.0,1.0,1.0,0.3110299439,0.2044312987,0.04476696253,0.03760421276
45,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3180974708,0.2104933412,0.04791003466,0.04049170017
46,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3239217735,0.21142059,0.04953593016,0.04138445854
47,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3150640737,0.2060536959,0.04540240765,0.03818613291
48,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3180043976,0.199245711,0.04618990421,0.03719186783
49,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3156134122,0.2095606146,0.04746633768,0.04033088684
50,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.318003939,0.1960321161,0.04751169682,0.03763920069
51,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3158319615,0.1902163816,0.04747843742,0.03685826063
52,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3113526381,0.1875975079,0.04629307985,0.03579998016
53,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.306247279,0.2005352684,0.04585844278,0.03842192888
54,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3167964143,0.2043586878,0.04833871126,0.0399184227
55,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.310707423,0.187597568,0.0440787077,0.03408753872
56,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3054427149,0.1995638163,0.04369872808,0.03656423092
57,1.0,0.0,0.0,0.0,1.0,1.0,0.309744299,0.207003922,0.04543799162,0.0387737155
58,1.0,0.0,0.0,0.0,1.0,1.0,0.3075206717,0.2044310972,0.04643887281,0.03953576088
59,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.2962854595,0.1836033751,0.04249095917,0.03441166878
60,1.0,0.0,0.0,0.0,1.0,1.0,0.3007728603,0.1788140104,0.0445420146,0.03464376926
