frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.0,0.0,0.0,1.0,1.0,0.09976588488,0.09149838185,0.01528060436,0.01418918371
1,1.0,0.0,0.0,0.0,1.0,1.0,0.09686213929,0.0891111927,0.01496237516,0.01387423277
2,1.0,0.0,0.0,0.0,1.0,1.0,0.1125888065,0.1009889894,0.01755177975,0.01566159725
3,1.0,0.0,0.0,0.0,1.0,1.0,0.1054775983,0.08797884313,0.01665568352,0.01365214586
4,1.0,0.0,0.0,0.0,1.0,1.0,0.10757897,0.09005574058,0.01695042849,0.01394307613
5,1.0,0.0,0.0,0.0,1.0,1.0,0.09825030953,0.07742151612,0.01579773426,0.01198446751
6,1.0,0.0,0.0,0.0,1.0,0.0,0.1166593356,0.0,0.01902109385,0.0
7,1.0,0.0,0.0,0.0,1.0,1.0,0.1333746877,0.112899835,0.02194041014,0.01738131046
8,1.0,0.0,0.0,0.0,1.0,1.0,0.129820867,0.1052041898,0.02115809917,0.01623082161
9,1.0,0.0,0.0,0.0,1.0,1.0,0.1176817213,0.1024607561,0.01978391409,0.01634323597
10,1.0,0.0,0.0,0.0,1.0,1.0,0.1106705449,0.1128403507,0.01835823059,0.01779341698
11,1.0,0.0,0.0,0.0,1.0,1.0,0.09146292606,0.09543267223,0.01532548666,0.01532548666
12,1.0,0.0,0.0,0.0,1.0,1.0,0.1344765102,0.1258035454,0.02270638943,0.02018338442
13,1.0,0.0,0.0,0.0,1.0,1.0,0.1215989052,0.115593655,0.02055984735,0.01830667257
14,1.0,0.0,0.0,0.0,1.0,1.0,0.1354616956,0.1289602121,0.02312588692,0.02030563354
15,1.0,0.0,0.0,0.0,1.0,1.0,0.1325961933,0.1376044331,0.02255046368,0.02142292261
16,1.0,0.0,0.0,0.0,1.0,1.0,0.1434924299,0.1321728705,0.02424478531,0.02057993412
17,1.0,0.0,0.0,0.0,1.0,1.0,0.1335886581,0.1321724862,0.02283215523,0.0205771327
18,1.0,0.0,0.0,0.0,1.0,1.0,0.1484977529,0.1446080872,0.02535605431,0.0225071311
19,1.0,0.0,0.0,0.0,1.0,1.0,0.143492415,0.1330192104,0.02444249392,0.02103191614
20,1.0,0.0,0.0,0.0,1.0,1.0,0.1295572521,0.1322787183,0.02215766907,0.02071881294
21,1.0,0.0,0.0,0.0,1.0,1.0,0.135978509,0.1351098004,0.02300059795,0.02098804712
22,1.0,0.0,0.0,0.0,1.0,1.0,0.1257800869,0.1315054663,0.02119129896,0.0200458169
23,1.0,0.0,0.0,0.0,1.0,1.0,0.1182873302,0.1191642732,0.02021229267,0.01816177368
24,1.0,0.0,0.0,0.0,1.0,1.0,0.108559962,0.1244437869,0.01840931177,0.01870149374
25,1.0,0.0,0.0,0.0,1.0,1.0,0.09053527977,0.1173434407,0.01523125172,0.01732188463
26,1.0,0.0,0.0,0.0,1.0,1.0,0.08767039405,0.1188853686,0.01457560062,0.01719921827
27,1.0,0.0,0.0,0.0,1.0,1.0,0.0908583961,0.1284996746,0.0152811408,0.0185136795
28,1.0,0.0,0.0,0.0,1.0,1.0,0.07926593269,0.1183011213,0.0133484602,0.01683068275
29,1.0,0.0,0.0,0.0,1.0,1.0,0.07066768452,0.1293393742,0.01167392731,0.01834470034
30,1.0,0.0,0.0,0.0,1.0,1.0,0.08342870071,0.134845287,0.01358324289,0.01885020733
31,1.0,0.0,0.0,0.0,1.0,1.0,0.08505885467,0.1462599798,0.01360398531,0.02040600777
32,1.0,0.0,0.0,0.0,1.0,1.0,0.07396592656,0.1119374123,0.01159483194,0.01583683491
33,1.0,0.0,0.0,0.0,1.0,1.0,0.1079046145,0.1229780477,0.0172252655,0.01778995991
34,1.0,0.0,0.0,0.0,1.0,1.0,0.2169839289,0.2238894367,0.03550052643,0.03361797333
35,1.0,0.0,0.0,0.0,1.0,1.0,0.2730184542,0.2813116454,0.04602396488,0.04410630465
36,1.0,0.0,0.0,0.0,1.0,1.0,0.2832555508,0.2903786067,0.04733496904,0.04625922441
37,1.0,0.0,0.0,0.0,1.0,1.0,0.2813962401,0.282954909,0.04715800285,0.0463449955
38,1.0,0.0,0.0,0.0,1.0,1.0,0.2964931203,0.2904220171,0.0491271615,0.04831731319
39,1.0,0.0,0.0,0.0,1.0,1.0,0.3055203762,0.2944214771,0.05066460371,0.04985612631
40,1.0,0.0,0.0,0.0,1.0,1.0,0.3194261434,0.2928301661,0.05299949646,0.05026757717
41,1.0,0.0,0.0,0.0,1.0,1.0,0.3314647423,0.2953621595,0.05460840464,0.05128198862
42,1.0,0.0,0.0,0.0,1.0,1.0,0.3413558679,0.3059189195,0.05506944656,0.05232965946
