frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyelid_gap_ratio,right_eyelid_gap_ratio
0,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2992980865,0.4477267618,0.05171948671,0.04771739244
1,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.3031815158,0.4483212683,0.05402451754,0.04931312799
2,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.3026479464,0.4404321118,0.05294632912,0.04802107811
3,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.3015557831,0.4310776386,0.05414420366,0.04857504368
4,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.3027566665,0.444503266,0.05377936363,0.04919594526
5,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.3092678564,0.4291389291,0.05434525013,0.04666936398
6,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2961311447,0.4197660777,0.05203688145,0.04553228617
7,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2957351327,0.4070761873,0.05216693878,0.04556751251
8,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2837921361,0.4173806616,0.04982304573,0.04549062252
9,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2748031473,0.3986840941,0.04734796286,0.04403048754
10,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2717781491,0.4008750989,0.04596841335,0.04329925776
11,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2658275505,0.3868801995,0.0466094017,0.04358273745
12,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.266974371,0.3955007457,0.04681581259,0.0444149375
13,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2780018405,0.3928290436,0.04821145535,0.04347908497
14,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2810927723,0.3965177324,0.04876357317,0.04394745827
15,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2785899593,0.3862707122,0.04790890217,0.0428186059
16,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2772303965,0.3997771165,0.04730087519,0.04338425398
17,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.273052337,0.389285438,0.04613274336,0.04169690609
18,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2785898019,0.3932233495,0.0480902791,0.04328131676
19,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2713021678,0.3795692667,0.04629892111,0.04151964188
20,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2741525866,0.3932228647,0.04763001204,0.04340958595
21,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2940563487,0.4036207994,0.05116486549,0.04476928711
22,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.280762043,0.394066093,0.04839575291,0.04200387001
23,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2792819617,0.3958466121,0.0467941165,0.04149663448
24,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2777211485,0.4031841233,0.04858887196,0.0439466238
25,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2759521761,0.3831195393,0.04638367891,0.04103171825
26,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2792813406,0.3892856128,0.04696249962,0.04164606333
27,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2787918471,0.3858955324,0.04844784737,0.04235374928
28,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2830278285,0.399776905,0.04939323664,0.04445391893
29,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2887659246,0.4036207355,0.05156171322,0.04538667202
30,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2917948742,0.4070758078,0.0503205061,0.04369145632
31,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2837919402,0.3975055786,0.04946470261,0.04301285744
32,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.294161922,0.414054674,0.05178445578,0.04523342848
33,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2923060502,0.4086113603,0.05133724213,0.04549646378
34,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2751572795,0.4003449465,0.04763507843,0.04333257675
35,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2792036446,0.4106899551,0.0485432148,0.04421448708
36,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2817574989,0.4060231443,0.04896605015,0.04403865337
37,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2597113002,0.3877143647,0.04389470816,0.04086750746
38,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.1951466815,0.348019659,0.03153568506,0.03448289633
39,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.09886566016,0.3674416682,0.01655244827,0.03761917353
40,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.09543263503,0.3233488508,0.01634204388,0.03595256805
41,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.09709805367,0.25105564,0.01642775536,0.02973991632
42,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.1618591295,0.2594300004,0.02869260311,0.03398549557
43,1.0,0.7853981853,0.0,0.0,1.0,1.0,0.2297044299,0.318720016,0.04153454304,0.04456025362
