frame_index,face_detected,yaw,pitch,roll,left_eye_valid,right_eye_valid,left_eye_aspect_ratio,right_eye_aspect_ratio,left_pupil_rel_x,left_pupil_rel_y,right_pupil_rel_x,right_pupil_rel_y
0,1.0,0.0,0.0,0.0,1.0,1.0,0.3637397161,0.3373914332,0.3597304053,0.5925929728,0.4872609678,0.5849051868
1,1.0,0.0,0.0,0.0,1.0,1.0,0.3615727754,0.3247400157,0.3566553362,0.5849060805,0.4921133813,0.5776703956
2,1.0,0.0,0.0,0.0,1.0,1.0,0.3548615639,0.316857786,0.3499142592,0.5893717369,0.4921135771,0.5970152288
3,1.0,0.0,0.0,0.0,1.0,1.0,0.3593501465,0.321586684,0.3396716315,0.5961531378,0.4921134022,0.5980391832
4,1.0,0.0,0.0,0.0,1.0,1.0,0.3613701412,0.3156965814,0.3379911892,0.5990342754,0.492063623,0.6080400184
5,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3588188466,0.3092022693,0.3415060728,0.5951223634,0.4937498201,0.6010105542
6,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.36246436,0.3052089439,0.3404444532,0.593136867,0.487341874,0.6062175513
7,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3580093382,0.3111468881,0.3345038927,0.5980385489,0.487421304,0.6010106718
8,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3601911372,0.3055618904,0.3398750508,0.5891093321,0.4840763562,0.6145834544
9,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3598348753,0.3024201193,0.3375337978,0.6000006586,0.4822004106,0.6203205417
10,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3597991086,0.3080247072,0.3363636902,0.5909089894,0.4688524495,0.622340363
11,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3499851152,0.3011345468,0.3411551929,0.5876286477,0.4820845297,0.6162165162
12,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3582735542,0.3101159481,0.3416149335,0.5940599591,0.4790997272,0.6269429743
13,1.0,-0.7853981853,0.0,0.0,1.0,1.0,0.3468547569,0.3001569726,0.3309480797,0.5979374774,0.4707793471,0.6270266996
14,1.0,0.0,0.0,0.0,1.0,1.0,0.3590918439,0.3143403817,0.3398230009,0.5960587475,0.4806452189,0.625640944
15,1.0,0.0,0.0,0.0,1.0,1.0,0.3484953747,0.2958874729,0.3351401285,0.6010361296,0.4736844065,0.63333283
16,1.0,0.0,0.0,0.0,1.0,1.0,0.2791315856,0.2490192462,0.3701967969,0.6174495655,0.4983164112,0.6216223436
17,1.0,0.0,0.0,0.0,1.0,1.0,0.1479174707,0.154169399,0.4440000079,0.6621632105,0.5390067814,0.6321834996
18,1.0,0.0,0.0,0.0,1.0,1.0,0.1510092584,0.1612001997,0.4413520176,0.6447359667,0.5232974896,0.6111120611
19,1.0,0.0,0.0,0.0,1.0,1.0,0.2204919512,0.2253645406,0.4936708578,0.6229497342,0.6111111722,0.6086963591
20,1.0,0.0,0.0,0.0,1.0,1.0,0.2882346288,0.2834952261,0.476109272,0.5857994822,0.5865386591,0.610169338
21,1.0,0.0,0.0,0.0,1.0,1.0,0.2993253174,0.3070181145,0.4636208777,0.5762718545,0.5718954212,0.6010632185
22,1.0,0.0,0.0,0.0,1.0,1.0,0.3238324298,0.3282954066,0.4555921,0.5634522614,0.5695793433,0.6108374663
23,1.0,0.0,0.0,0.0,1.0,1.0,0.3358124376,0.3363505739,0.4608001194,0.5619044566,0.5737181096,0.6047620258
24,1.0,0.0,0.0,0.0,1.0,1.0,0.331530073,0.3347799855,0.4611650422,0.5756097616,0.5653597675,0.6097566439
